system,shots,mean,lo,hi,n
emb:all-MiniLM-L6-v2+logreg,1,0.5157,0.4991,0.5310,5
emb:all-MiniLM-L6-v2+logreg,2,0.6646,0.6497,0.6810,5
emb:all-MiniLM-L6-v2+logreg,3,0.7292,0.7153,0.7385,5
emb:all-MiniLM-L6-v2+logreg,5,0.7864,0.7777,0.7951,5
emb:all-MiniLM-L6-v2+logreg,10,0.8508,0.8460,0.8548,5
emb:all-MiniLM-L6-v2+logreg,20,0.8856,0.8841,0.8869,5
hv_expert_logreg,1,0.2923,0.2729,0.3114,5
hv_expert_logreg,2,0.3578,0.3415,0.3740,5
hv_expert_logreg,3,0.4041,0.3941,0.4193,5
hv_expert_logreg,5,0.4625,0.4593,0.4660,5
hv_expert_logreg,10,0.5197,0.5143,0.5236,5
hv_expert_logreg,20,0.5642,0.5582,0.5701,5
hv_expert_rf,1,0.2837,0.2693,0.2983,5
hv_expert_rf,2,0.4172,0.4054,0.4277,5
hv_expert_rf,3,0.4916,0.4821,0.5012,5
hv_expert_rf,5,0.5694,0.5588,0.5795,5
hv_expert_rf,10,0.6605,0.6504,0.6706,5
hv_expert_rf,20,0.7271,0.7224,0.7318,5
hv_gen256_logreg,1,0.5154,0.4989,0.5318,5
hv_gen256_logreg,2,0.6575,0.6497,0.6652,5
hv_gen256_logreg,3,0.7211,0.7105,0.7329,5
hv_gen256_logreg,5,0.7694,0.7620,0.7768,5
hv_gen256_logreg,10,0.8225,0.8183,0.8261,5
hv_gen256_logreg,20,0.8585,0.8549,0.8615,5
hv_gen256_prior_fixed,1,0.4119,0.4119,0.4119,5
hv_gen256_prior_fixed,2,0.4119,0.4119,0.4119,5
hv_gen256_prior_fixed,3,0.4119,0.4119,0.4119,5
hv_gen256_prior_fixed,5,0.4119,0.4119,0.4119,5
hv_gen256_prior_fixed,10,0.4119,0.4119,0.4119,5
hv_gen256_prior_fixed,20,0.4119,0.4119,0.4119,5
hv_gen256_rf,1,0.4472,0.4216,0.4713,5
hv_gen256_rf,2,0.6284,0.6190,0.6381,5
hv_gen256_rf,3,0.6899,0.6830,0.6975,5
hv_gen256_rf,5,0.7496,0.7451,0.7557,5
hv_gen256_rf,10,0.7999,0.7945,0.8067,5
hv_gen256_rf,20,0.8424,0.8363,0.8483,5
hv_prior_fixed,1,0.1218,0.1218,0.1218,5
hv_prior_fixed,2,0.1218,0.1218,0.1218,5
hv_prior_fixed,3,0.1218,0.1218,0.1218,5
hv_prior_fixed,5,0.1218,0.1218,0.1218,5
hv_prior_fixed,10,0.1218,0.1218,0.1218,5
hv_prior_fixed,20,0.1218,0.1218,0.1218,5
hv_prior_reweight,1,0.2006,0.1889,0.2129,5
hv_prior_reweight,2,0.2518,0.2403,0.2659,5
hv_prior_reweight,3,0.2772,0.2719,0.2837,5
hv_prior_reweight,5,0.3022,0.2938,0.3111,5
hv_prior_reweight,10,0.3250,0.3196,0.3301,5
hv_prior_reweight,20,0.3495,0.3455,0.3535,5
tfidf_char+logreg,1,0.3460,0.3382,0.3530,5
tfidf_char+logreg,2,0.4546,0.4427,0.4659,5
tfidf_char+logreg,3,0.5227,0.5133,0.5314,5
tfidf_char+logreg,5,0.5957,0.5839,0.6038,5
tfidf_char+logreg,10,0.6859,0.6758,0.6972,5
tfidf_char+logreg,20,0.7640,0.7561,0.7718,5
tfidf_word+char+logreg,1,0.3275,0.3161,0.3389,5
tfidf_word+char+logreg,2,0.4516,0.4397,0.4625,5
tfidf_word+char+logreg,3,0.5316,0.5218,0.5399,5
tfidf_word+char+logreg,5,0.6146,0.6062,0.6244,5
tfidf_word+char+logreg,10,0.7175,0.7058,0.7293,5
tfidf_word+char+logreg,20,0.7986,0.7897,0.8074,5
tfidf_word+logreg,1,0.2529,0.2367,0.2709,5
tfidf_word+logreg,2,0.3634,0.3483,0.3770,5
tfidf_word+logreg,3,0.4386,0.4211,0.4525,5
tfidf_word+logreg,5,0.5198,0.5058,0.5302,5
tfidf_word+logreg,10,0.6343,0.6220,0.6442,5
tfidf_word+logreg,20,0.7251,0.7144,0.7358,5
zeroshot_nli,1,0.4108,0.4108,0.4108,5
zeroshot_nli,2,0.4108,0.4108,0.4108,5
zeroshot_nli,3,0.4108,0.4108,0.4108,5
zeroshot_nli,5,0.4108,0.4108,0.4108,5
zeroshot_nli,10,0.4108,0.4108,0.4108,5
zeroshot_nli,20,0.4108,0.4108,0.4108,5
